salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,block,scenario,base_concept,chunk_size,concept_drift_affected,flip_probability,concept_drift_flipped,salary_threshold,loan_threshold
104145.15067555748,0.0,21,2,8,3,600000,4,335536.1234594917,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
86500.70664079947,0.0,20,4,7,8,100000,15,293035.34710313426,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
39600.08923030883,75000.0,41,0,3,6,300000,28,167765.86322027014,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
58823.15426897268,57778.77293894224,76,2,19,3,0,2,330165.7623075394,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
128819.24746493869,0.0,30,2,12,3,600000,23,464961.3187938663,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
70165.89417291191,75000.0,60,4,8,5,0,25,28640.774289427,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
113488.41234229108,0.0,33,3,13,7,200000,5,122307.7588983957,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
49271.10503779054,75000.0,51,3,3,0,0,5,314014.1643025364,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
145230.22474111966,0.0,75,0,4,8,100000,25,324239.428693686,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
53337.958695870846,47885.22251887007,31,4,4,4,0,17,299490.8246803656,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
61045.05573616506,11762.23555223544,79,2,10,3,600000,29,279936.0769596594,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
105018.2822913072,0.0,80,4,6,4,500000,20,209686.1330134524,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
148948.4388274997,0.0,61,2,15,8,100000,8,108058.59937586902,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
102005.46214290411,0.0,34,0,2,5,400000,8,140000.74847948248,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
51503.90564833955,45770.76932514233,46,1,4,1,0,12,210815.52433098308,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
64012.171679187726,75000.0,34,1,7,8,100000,14,87723.10517563263,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
105726.92724428645,0.0,54,0,3,3,600000,16,239583.42656139788,0,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
140592.34720356797,0.0,70,3,10,6,300000,24,500000.0,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
96210.50952543884,0.0,54,0,11,0,900000,16,248283.44106956405,0,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
97600.31363769056,0.0,63,1,13,1,0,19,123335.50104963205,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
141400.59739441873,0.0,34,2,8,4,500000,22,323961.9869737557,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
94179.42078464774,0.0,26,0,18,3,600000,5,469967.1385432526,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
112443.32037028956,0.0,59,4,1,8,100000,22,48347.73005685566,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
55460.39241304883,25971.79389202268,41,1,9,8,100000,29,450387.719716303,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
148369.81062032905,0.0,30,3,18,6,300000,4,38447.025701781466,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
38871.75657377075,19636.26252104744,39,2,2,5,400000,8,337724.3435434671,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
51895.97449354227,22580.538213151176,71,1,14,0,900000,30,168966.47906456905,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
34885.826022910485,75000.0,74,3,8,3,0,15,172615.24283318938,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
30247.739694824388,67581.63596905129,43,4,13,8,100000,1,57016.51351136024,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
114073.13640081188,0.0,40,3,20,8,100000,29,288678.5417192277,0,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
113846.10395469057,0.0,67,1,12,6,300000,22,460456.6531493728,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
106381.85525426349,0.0,40,3,10,8,100000,14,331525.4687939674,0,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
128293.24130416971,0.0,39,2,7,6,300000,20,331364.62010981835,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
124311.11982427676,0.0,30,0,10,8,100000,20,164585.42703216622,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
23742.999784784795,28212.36281348684,50,4,3,7,200000,21,291762.04796677275,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
130687.84130629344,0.0,76,0,14,3,600000,23,261993.04123909303,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
106594.63120405842,0.0,55,4,11,7,200000,24,449625.0972683416,0,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
77410.52516214637,0.0,68,1,9,8,100000,8,137700.24568395372,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
37769.64100576845,26963.49568598274,64,1,7,1,800000,11,273260.8001169374,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
131089.12948447713,0.0,68,4,13,7,200000,12,151652.6667937553,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
123556.7990359806,0.0,77,1,16,3,600000,16,14186.31146568072,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
36492.02960108482,56084.64209659007,21,3,19,0,900000,14,70462.04069422239,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
70586.16837746165,66205.6852134451,73,3,9,1,800000,24,272251.8560018621,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
143615.8461660966,0.0,32,0,20,2,700000,16,331407.3137436334,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
99139.2456996934,0.0,67,0,6,4,500000,1,461426.8819744779,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
97742.91272564136,0.0,73,1,4,4,0,20,404379.1952299568,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
29819.01475615966,58835.24529107829,20,3,16,1,800000,12,315493.377014597,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
125980.35266092852,0.0,54,3,15,6,300000,19,131636.40341652223,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
79663.61226888745,0.0,59,3,11,0,900000,11,92931.76608216792,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
55239.757082227,10730.254626920198,80,1,3,3,0,16,275530.46160413534,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
73211.57886358604,28027.915977111494,62,4,12,7,200000,12,208958.46520013045,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
46275.13640819321,18998.633523970155,54,1,7,3,0,9,359567.3321813514,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
44482.03367757135,11240.358095842494,54,1,9,0,0,18,143911.71554776025,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
81102.74005012796,0.0,41,1,2,4,0,16,53560.84043197183,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
125698.39971382223,0.0,80,2,3,3,600000,25,212172.05448140227,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
59339.023698582605,54302.55494361131,47,2,19,0,900000,24,50136.7098431717,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
40877.00765865162,40579.058673831154,64,4,16,4,500000,10,354728.49501115887,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
105344.43999720347,0.0,79,1,14,1,800000,21,75445.14091085864,1,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
128302.19739753573,0.0,78,2,15,1,800000,10,345265.4503296948,1,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
76359.24402487226,0.0,41,4,9,0,900000,22,415674.4172127612,0,1,abrupt_real_concept_drift,0,500,True,0.0,False,59117.14140558192,202979.79181318256
26047.154364605674,67329.9340878272,50,4,15,4,500000,19,213988.4923843271,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
40447.74268996621,41484.62187893568,51,2,13,8,100000,3,158835.18244991527,0,1,abrupt_real_concept_drift,0,500,False,0.0,False,59117.14140558192,202979.79181318256
